,j,loss
0,0,2.6891252994537354
1,100,0.03982308506965637
2,200,0.025656340643763542
3,300,0.01332875993102789
4,400,0.011367534287273884
5,500,0.00821142178028822
6,600,0.007124302908778191
7,700,0.008715118281543255
8,800,0.007050801068544388
9,900,0.005355940666049719
10,1000,0.005620856303721666
11,1100,0.005151750519871712
12,1200,0.004089226946234703
13,1300,0.003745896043255925
14,1400,0.003141821129247546
15,1500,0.0028025235515087843
16,1600,0.0023331111297011375
17,1700,0.004862804897129536
18,1800,0.0031795885879546404
19,1900,0.0018416786333546042
20,2000,0.0019136363407596946
21,2100,0.0013208206510171294
22,2200,0.001905759796500206
23,2300,0.002149713458493352
24,2400,0.001332237385213375
25,2500,0.002107262844219804
26,2600,0.001509621855802834
27,2700,0.002332097850739956
28,2800,0.0017702548066154122
29,2900,0.001277482253499329
30,3000,0.0012350660981610417
31,3100,0.001118236337788403
32,3200,0.0013555269688367844
33,3300,0.001391779980622232
34,3400,0.001074116094969213
35,3500,0.0010888958349823952
36,3600,0.0011998522095382214
37,3700,0.0010460392804816365
38,3800,0.0011902125552296638
39,3900,0.0008981504361145198
40,4000,0.0009334743954241276
41,4100,0.0007729411008767784
42,4200,0.0013594012707471848
43,4300,0.0006632748991250992
44,4400,0.001215846510604024
45,4500,0.002053698757663369
46,4600,0.0008999803103506565
47,4700,0.0008266551303677261
48,4800,0.0011396048357710242
49,4900,0.0007365535129792988
50,5000,0.0007928647100925446
51,5100,0.0009236889891326427
52,5200,0.0008457785006612539
53,5300,0.0010940585052594543
54,5400,0.0009647118276916444
55,5500,0.001043191528879106
56,5600,0.0006591590936295688
57,5700,0.0007735795225016773
58,5800,0.0006815951783210039
59,5900,0.0010391556425020099
60,6000,0.0014549953630194068
61,6100,0.0005555687821470201
62,6200,0.000965105660725385
63,6300,0.0006549686659127474
64,6400,0.0004520547518040985
65,6500,0.0007798774749971926
66,6600,0.0007011397392489016
67,6700,0.0005573643720708787
68,6800,0.0005083531723357737
69,6900,0.0006083349580876529
70,7000,0.0007146665011532605
71,7100,0.0006854732637293637
72,7200,0.0005914293578825891
73,7300,0.0008079542894847691
74,7400,0.0008014386403374374
75,7500,0.00047379801981151104
76,7600,0.0006659543141722679
77,7700,0.002356482669711113
78,7800,0.000763644406106323
79,0,0.00044130938476882875
