,j,loss
0,0,2.816871404647827
1,100,0.06290581822395325
2,200,0.028932465240359306
3,300,0.019587986171245575
4,400,0.01323730032891035
5,500,0.00762674817815423
6,600,0.008783628232777119
7,700,0.0074588521383702755
8,0,0.00956942979246378
