Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.661664247512817	0	7.98564593301	4.84049749203	44.0	2.0	7.98564593301	4.84049749203	5007	5007
15.493509769439697	1	23.0599078341	13.8909878947	68.0	4.0	23.0599078341	13.8909878947	5004	10011
18.907373905181885	2	44.75	20.2764377683	106.0	12.0	44.75	20.2764377683	5012	15023
22.116185188293457	3	41.7666666667	19.3182699939	99.0	8.0	41.7666666667	19.3182699939	5012	20035
25.39837622642517	4	43.8684210526	24.9080812497	123.0	9.0	43.8684210526	24.9080812497	5001	25036
28.84356117248535	5	44.7345132743	25.6453061824	153.0	9.0	44.7345132743	25.6453061824	5055	30091
32.206135272979736	6	52.5416666667	25.5273206041	129.0	11.0	52.5416666667	25.5273206041	5044	35135
35.5839147567749	7	68.3243243243	34.81227964	192.0	14.0	68.3243243243	34.81227964	5056	40191
38.86376094818115	8	79.1230769231	40.3463877679	206.0	12.0	79.1230769231	40.3463877679	5143	45334
42.031803131103516	9	106.166666667	43.9518360127	213.0	34.0	106.166666667	43.9518360127	5096	50430
45.12769436836243	10	107.680851064	42.69989605	275.0	33.0	107.680851064	42.69989605	5061	55491
48.52514600753784	11	123.268292683	66.1063534787	403.0	28.0	123.268292683	66.1063534787	5054	60545
51.746569871902466	12	137.135135135	53.5507650851	298.0	30.0	137.135135135	53.5507650851	5074	65619
55.04282331466675	13	120.452380952	53.9175748275	273.0	33.0	120.452380952	53.9175748275	5059	70678
58.12310981750488	14	109.782608696	46.6708702761	206.0	21.0	109.782608696	46.6708702761	5050	75728
61.17049813270569	15	118.046511628	43.926976131	223.0	16.0	118.046511628	43.926976131	5076	80804
64.3137559890747	16	122.365853659	46.3884742295	228.0	19.0	122.365853659	46.3884742295	5017	85821
67.58273887634277	17	161.806451613	53.0723300453	292.0	65.0	161.806451613	53.0723300453	5016	90837
70.88453078269958	18	150.0	39.63955244	271.0	95.0	150.0	39.63955244	5100	95937
74.1950945854187	19	157.96875	50.6646353331	330.0	94.0	157.96875	50.6646353331	5055	100992
77.36702227592468	20	160.0	45.8414386772	299.0	38.0	160.0	45.8414386772	5120	106112
80.56095147132874	21	196.769230769	59.8596484687	360.0	130.0	196.769230769	59.8596484687	5116	111228
83.88224387168884	22	219.0	66.3312394979	373.0	62.0	219.0	66.3312394979	5256	116484
87.24806523323059	23	275.157894737	105.756056518	639.0	164.0	275.157894737	105.756056518	5228	121712
90.7113094329834	24	273.368421053	126.680372977	562.0	33.0	273.368421053	126.680372977	5194	126906
94.01207208633423	25	174.310344828	129.045595644	453.0	32.0	174.310344828	129.045595644	5055	131961
97.85450673103333	26	152.424242424	119.2318928	479.0	20.0	152.424242424	119.2318928	5030	136991
101.6885633468628	27	292.388888889	141.530969869	514.0	33.0	292.388888889	141.530969869	5263	142254
105.05224561691284	28	521.8	264.671418933	1000.0	100.0	521.8	264.671418933	5218	147472
108.9931480884552	29	979.0	46.9574275275	1000.0	874.0	979.0	46.9574275275	5874	153346
113.0196590423584	30	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	159346
116.93430662155151	31	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	165346
121.2601752281189	32	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	171346
125.59005498886108	33	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	177346
129.74161338806152	34	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	183346
134.5332281589508	35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	189346
138.6589012145996	36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	195346
142.66444873809814	37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	201346
