Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.8237996101379395	0	17.8928571429	7.53249762085	39.0	9.0	17.8928571429	7.53249762085	1002	1002
1.5380988121032715	1	22.2888888889	11.2360970334	66.0	8.0	22.2888888889	11.2360970334	1003	2005
1.9913420677185059	2	21.1458333333	8.276446458	50.0	9.0	21.1458333333	8.276446458	1015	3020
2.5103445053100586	3	24.6829268293	9.75164532557	54.0	12.0	24.6829268293	9.75164532557	1012	4032
3.001288890838623	4	28.3333333333	12.8473948937	73.0	10.0	28.3333333333	12.8473948937	1020	5052
3.4706873893737793	5	29.0833333333	13.2253439359	56.0	11.0	29.0833333333	13.2253439359	1047	6099
3.918276071548462	6	28.9142857143	13.5885906524	68.0	11.0	28.9142857143	13.5885906524	1012	7111
4.397812604904175	7	33.8666666667	16.1631955036	79.0	10.0	33.8666666667	16.1631955036	1016	8127
4.838431119918823	8	36.4285714286	15.6739742691	77.0	16.0	36.4285714286	15.6739742691	1020	9147
5.33310604095459	9	36.5172413793	16.7427198583	69.0	15.0	36.5172413793	16.7427198583	1059	10206
5.848982095718384	10	47.0	24.9381051989	104.0	15.0	47.0	24.9381051989	1034	11240
6.332245826721191	11	48.3333333333	29.1912141599	121.0	12.0	48.3333333333	29.1912141599	1015	12255
6.821400880813599	12	38.7307692308	13.1165124712	72.0	20.0	38.7307692308	13.1165124712	1007	13262
7.283797264099121	13	45.8181818182	17.0017014219	85.0	19.0	45.8181818182	17.0017014219	1008	14270
7.778737783432007	14	51.1	22.8361555433	100.0	14.0	51.1	22.8361555433	1022	15292
8.246958255767822	15	44.5217391304	22.2512717081	132.0	20.0	44.5217391304	22.2512717081	1024	16316
8.728480100631714	16	42.625	18.7723477931	106.0	20.0	42.625	18.7723477931	1023	17339
9.196907043457031	17	46.8181818182	22.9617000551	110.0	18.0	46.8181818182	22.9617000551	1030	18369
9.66688084602356	18	48.9047619048	27.1168630752	117.0	16.0	48.9047619048	27.1168630752	1027	19396
10.147165298461914	19	51.85	15.7964394722	82.0	19.0	51.85	15.7964394722	1037	20433
