Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.7678060531616211	0	22.6	9.80793329685	59.0	9.0	22.6	9.80793329685	1017	1017
1.2826876640319824	1	24.7441860465	11.324172588	65.0	9.0	24.7441860465	11.324172588	1064	2081
1.7108426094055176	2	32.5483870968	18.4929606654	81.0	10.0	32.5483870968	18.4929606654	1009	3090
2.154921054840088	3	28.4324324324	15.0180801676	71.0	11.0	28.4324324324	15.0180801676	1052	4142
2.6125385761260986	4	46.7272727273	28.5102562378	124.0	12.0	46.7272727273	28.5102562378	1028	5170
3.05073618888855	5	34.7586206897	20.2768003536	95.0	11.0	34.7586206897	20.2768003536	1008	6178
3.5066187381744385	6	42.48	27.6999927798	122.0	12.0	42.48	27.6999927798	1062	7240
3.940340042114258	7	40.6538461538	22.220818907	79.0	15.0	40.6538461538	22.220818907	1057	8297
4.382268667221069	8	31.71875	17.1504999472	89.0	10.0	31.71875	17.1504999472	1015	9312
4.812985420227051	9	51.3	23.2939906414	106.0	17.0	51.3	23.2939906414	1026	10338
5.221653938293457	10	59.3529411765	38.9719977548	170.0	17.0	59.3529411765	38.9719977548	1009	11347
5.70372462272644	11	47.1363636364	17.3658375568	86.0	20.0	47.1363636364	17.3658375568	1037	12384
6.171636343002319	12	57.1111111111	31.8693319821	155.0	18.0	57.1111111111	31.8693319821	1028	13412
6.674678087234497	13	56.3333333333	26.1703819019	110.0	17.0	56.3333333333	26.1703819019	1014	14426
7.199736595153809	14	46.6363636364	20.5968785246	119.0	20.0	46.6363636364	20.5968785246	1026	15452
7.661097764968872	15	56.3333333333	33.7013023158	140.0	18.0	56.3333333333	33.7013023158	1014	16466
8.134776592254639	16	50.4	19.4329616888	102.0	19.0	50.4	19.4329616888	1008	17474
8.701963424682617	17	58.2777777778	21.8449220022	109.0	33.0	58.2777777778	21.8449220022	1049	18523
9.214667558670044	18	56.3333333333	31.5048497149	154.0	22.0	56.3333333333	31.5048497149	1014	19537
